original affiliation,alias
TUCK SCHOOL OF BUSINESS DARTMOUTH COLLEG,DARTMOUTH COLLEGE
TUCK SCHOOL OF BUSINESS DARTMOUTH COLLEGE,DARTMOUTH COLLEGE
TUCK-DARTMOUTH COLLEGE,DARTMOUTH COLLEGE
TUFTS,TUFTS UNIVERSITY
TUFTS UNIVERSITY,TUFTS UNIVERSITY
TULANE,TULANE UNIVERSITY
TULANE UNIVERSITY,TULANE UNIVERSITY
TUNGHAI UNIVERSITY,TUNGHAI UNIVERSITY
TURIN,UNIVERSITY OF TURIN
TURKU SCHOOL OF ECONOMIC,TURKU SCHOOL OF ECONOMICS
U ALBERTA,UNIVERSITY OF ALBERTA
U C BERKELEY,"UNIVERSITY OF CALIFORNIA, BERKELEY"
U C BERKELEY,"UNIVERSITY OF CALIFORNIA, BERKELEY"
U CALGARY,UNIVERSITY OF CALGARY
U CATTOLICA DEL SACRO CUORE,UNIVERSITY CATTOLICA SACRO CUORE
U COLORADO,UNIVERSITY OF COLORADO
U MICHIGAN,UNIVERSITY OF MICHIGAN
U OF HOUSTON,UNIVERSITY OF HOUSTON
U OF MASS,UNIVERSITY MASSACHUSETTS
U OF PENNSYLVANIA,UNIVERSITY OF PENNSYLVANIA
U OF ROCHESTER,UNIVERSITY OF ROCHESTER
U OXFORD,UNIVERSITY OF OXFORD
U TEXAS AUSTIN,"UNIVERSITY OF TEXAS, AUSTIN"
U TORONTO,UNIVERSITY OF TORONTO
U UTAH,UNIVERSITY OF UTAH
U WASHINGTON,UNIVERSITY OF WASHINGTON
U WESTERN ONTARIO,UNIVERSITY OF WESTERN ONTARIO
U WISCONSIN MADISON,UNIVERSITY OF WISCONSIN-MADISON
U-TOKYO,UNIVERSITY OF TOKYO
U-TORONTO,UNIVERSITY OF TORONTO
UAB,UNIVERSITY AUTONOMA BARCELONA
UAE UNIVERSITY,UNITED ARAB EMIRATES UNIVERSITY
UB DEPARTMENT OF ECONOMICS,UNIVERSITY OF BUFFALO
UBC,UNIVERSITY OF BRITISH COLUMBIA
UBC (COMMERCE),UNIVERSITY OF BRITISH COLUMBIA
UBC (VANCOUVER),UNIVERSITY OF BRITISH COLUMBIA
UBC FINANCE,UNIVERSITY OF BRITISH COLUMBIA
UBC SAUDER SCHOOL OF BUSINESS,UNIVERSITY OF BRITISH COLUMBIA
UBC VANCOUVER,UNIVERSITY OF BRITISH COLUMBIA
UBP GENEVA,UNION BANCAIRE PRIVEE
UBS,UBS
UBS AG,UBS
UBS SECURITIES LLC USA,UBS
UBS-GLOBAL CREDIT STRATEGIES,UBS
UC BERKELEY,"UNIVERSITY OF CALIFORNIA, BERKELEY"
UC BERKELEY HAAS,"UNIVERSITY OF CALIFORNIA, BERKELEY"
UC BERKELEY HAAS SCHOOL OF BUSINESS,"UNIVERSITY OF CALIFORNIA, BERKELEY"
UC BERKELEY SCHOOL OF LAW,"UNIVERSITY OF CALIFORNIA, BERKELEY"
UC DAVIS,"UNIVERSITY OF CALIFORNIA, DAVIS"
UC DUBLIN,UNIVERSITY COLLEGE DUBLIN
UC IRVINE,"UNIVERSITY OF CALIFORNIA, IRVINE"
UC LOS ANGELES,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
UC RIVERSIDE,"UNIVERSITY OF CALIFORNIA, RIVERSIDE"
UC SAN DIEGO,"UNIVERSITY OF CALIFORNIA, SAN DIEGO"
UC SANTA BARBARA,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA"
UC SANTA CRUZ,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ"
UC-BERKELEY,"UNIVERSITY OF CALIFORNIA, BERKELEY"
UC-DAVIS,"UNIVERSITY OF CALIFORNIA, DAVIS"
UC-DENVER,UNIVERSITY OF COLORADO
UC-IRVINE,"UNIVERSITY OF CALIFORNIA, IRVINE"
UC-IVVINE,"UNIVERSITY OF CALIFORNIA, IRVINE"
UC-RIVERSIDE,"UNIVERSITY OF CALIFORNIA, RIVERSIDE"
UC-SAN DIEGO,"UNIVERSITY OF CALIFORNIA, SAN DIEGO"
UC0DAVIS,"UNIVERSITY OF CALIFORNIA, DAVIS"
UC0RIVERSIDE,"UNIVERSITY OF CALIFORNIA, RIVERSIDE"
UC3M BUSINESS DEPARTMENT,UNIVERSITY CARLOS III MADRID
UCD,UNIVERSITY COLLEGE DUBLIN
UCIS-UNIVERSITY OF PITTSBURGH,UNIVERSITY OF PITTSBURGH
UCL,UNIVERSITY COLLEGE LONDON
UCL-CORE AT LOUVAIN-LA-NEUVE,UNIVERSITE CATHOLIQUE DE LOUVAIN
UCLA,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
UCLA (ANDERSEN),"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
UCLA ANDERSON,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
UCLA ANDERSON SCHOOL,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
UCLA ANDERSON SCHOOL OF MANAGEMENT,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
UCLA ECONOMICS DEPARTMENT,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
UCONN,UNIVERSITY OF CONNECTICUT
UCSB,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA"
UCSC,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ"
UCSD,"UNIVERSITY OF CALIFORNIA, SAN DIEGO"
UCSD ECONOMICS DEPARTMENT,"UNIVERSITY OF CALIFORNIA, SAN DIEGO"
UCSD RADY SCHOOL,"UNIVERSITY OF CALIFORNIA, SAN DIEGO"
UCSD-RADY SCHOOL OF MANAGEMENT,"UNIVERSITY OF CALIFORNIA, SAN DIEGO"
UCW BANGOR,BANGOR UNIVERSITY
UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL
UFSIA,UNIVERSITY OF ANTWERP
UI URBANA-CHAMPAIGN,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN"
UIC,"UNIVERSITY OF ILLINOIS, CHICAGO"
UIUC,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN"
UIUC BUSINESS SCHOOL,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN"
UIUC ECONOMICS,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN"
UK DEBT MANAGEMENT OFFICE,UK DEBT MANAGEMENT OFFICE
UK SOCIETY OF INVESTMENT PROFESSIONALS (UKIP),CFA SOCIETY OF THE UK
UK TREASURY,UK TREASURY
ULB,UNIVERSITY LIBRE DE BRUXELLES
ULM,UNIVERSITY OF ULM
ULM UNIVERSITY INSTITUTE OF FINANCE,UNIVERSITY OF ULM
ULSTER BUSINESS SCHOOL UNIVERSITY OF ULSTER,UNIVERSITY OF ULSTER
UMASS,UNIVERSITY MASSACHUSETTS
UMASS AMHERST,UNIVERSITY MASSACHUSETTS
UMASS-AMHERST,UNIVERSITY MASSACHUSETTS
UMEA UNIVERSITY,UMEA UNIVERSITY
UMSL,UNIVERSITY OF MISSOURI
UMW,UNIVERSITY OF MARY WASHINGTON
UNC,UNIVERSITY OF NORTH CAROLINA
UNC (KENAN-FLAGLER),"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
UNC AT CHAPEL HILL,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
UNC CHAPEL HILL,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
UNC CHAPEL HILL KENAN-FLAGER,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
UNC KENAN FLAGLER,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
UNC-CH,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
UNC-CHAPEL HILL,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
UNC-CHARLOTTE,"UNIVERSITY OF NORTH CAROLINA, CHARLOTTE"
UNC-GREENSBORO,"UNIVERSITY OF NORTH CAROLINA, GREENSBORO"
UNED OPEN UNIVERSITY,UNED OPEN UNIVERSITY
UNICREDIT BANCA D'IMPRESA,UNICREDIT BANCA D'IMPRESA
UNION BANK OF SWITZERLAND ZURICH,UNION BANK OF SWITZERLAND ZURICH
UNION COLLEGE,UNION COLLEGE
UNION COLLEGE DEPARTMENT OF ECONOMICS,UNION COLLEGE
UNIT FOR PUBLIC ECONOMICS STATISTICS NORWAY,STATISTICS NORWAY
UNIT FOR TAXATION INEQUALITY AND CONSUMER BEHAVIOUR STATISTICS NORWAY,STATISTICS NORWAY
UNITED ARAB EMIRATES UNIVERSITY,UNITED ARAB EMIRATES UNIVERSITY
UNITED NATIONS RESEARCH COUNCIL,UNITED NATIONS RESEARCH COUNCIL
UNITED NATIONS UNIVERSITY,UNITED NATIONS UNIVERSITY
UNITED STATES SECURITIES AND EXCHANGE COMMISSION,UNITED STATES SECURITIES AND EXCHANGE COMMISSION
UNIV LILLE NORD DE FRANCE EUROPEAN CENTER FOR CORPORATE CONTROL STUDIES,"UNIVERSITY OF LILLE, NORD DE FRANCE"
UNIV OF MELBOURNE,UNIVERSITY OF MELBOURNE
UNIVER-SITY OF BRITISH COLUMBIA,UNIVERSITY OF BRITISH COLUMBIA
UNIVERISTA DI TORINO,UNIVERSITY OF TURIN
UNIVERISTY OF AMSTERDAM,UNIVERSITY OF AMSTERDAM
UNIVERISTY OF CHICAGO,UNIVERSITY OF CHICAGO
UNIVERSIDAD ADOLFO IBANEZ,UNIVERSITY ADOLFO IBANEZ
UNIVERSIDAD ARGENTINA DE LA EMPRESA,UNIVERSIDAD ARGENTINA DE LA EMPRESA
UNIVERSIDAD AUTONOMA DE MADRID,UNIVERSITY AUTONOMA MADRID
UNIVERSIDAD AUTONOMA DE MADRID,UNIVERSITY AUTONOMA MADRID
UNIVERSIDAD CARLOS III,UNIVERSITY CARLOS III MADRID
UNIVERSIDAD CARLOS III DE MADRID,UNIVERSITY CARLOS III MADRID
UNIVERSIDAD CARLOS III MADRID,UNIVERSITY CARLOS III MADRID
UNIVERSIDAD COMPLUTENSE DE MADRID,UNIVERSITY COMPLUTENSE MADRID
UNIVERSIDAD DE ALICANTE,UNIVERSITY OF ALICANTE
UNIVERSIDAD DE CASTILLA-LA MANCHA,UNIVERSITY OF CASTILLA-LA MANCHA
UNIVERSIDAD DE COSTA RICA,UNIVERSITY OF COSTA RICA
UNIVERSIDAD DE GUANAJUATO,UNIVERSITY OF GUANAJUATO
UNIVERSIDAD DE LA REPUBLICA URUGUAY,UNIVERSITY OF THE REPUBLIC
UNIVERSIDAD DE LOS ANDES,UNIVERSITY OF THE ANDES
UNIVERSIDAD DE LOS ANDES COLOMBIA,UNIVERSITY OF THE ANDES
UNIVERSIDAD DE MALAGA,UNIVERSITY OF MALAGA
UNIVERSIDAD DE NAVARRA,UNIVERSITY OF NAVARRA
UNIVERSIDAD DE NAVARRA FACULTAD DE ECONOMICAS Y EMPRESARIALES,UNIVERSITY OF NAVARRA
UNIVERSIDAD DE NAVARRA OF SPAIN,UNIVERSITY OF NAVARRA
UNIVERSIDAD DE NAVARRA SPAIN,UNIVERSITY OF NAVARRA
UNIVERSIDAD DE OVIEDO,UNIVERSITY OF OVIEDO
UNIVERSIDAD DE SAN ANDRES,UNIVERSITY OF SAN ANDRES
UNIVERSIDAD DE SANTIAGO DE CHILE,UNIVERSITY OF SANTIAGO DE CHILE
UNIVERSIDAD DE VALENCIA,UNIVERSITY OF VALENCIA
UNIVERSIDAD DE ZARAGOZ,UNIVERSITY OF ZARAGOZA
UNIVERSIDAD DE ZARAGOZA,UNIVERSITY OF ZARAGOZA
UNIVERSIDAD DI TELLA,TORCUATO DI TELLA UNIVERSITY
UNIVERSIDAD POMPEU-FABRA,POMPEU FABRA UNIVERSITY
UNIVERSIDAD TORCUATO DI TELLA,TORCUATO DI TELLA UNIVERSITY
UNIVERSIDADE CATOLICA DE PORTUGAL,UNIVERSITY CATOLICA PORTUGUESA
UNIVERSIDADE CATOLICA PORTUGESA LISBON,UNIVERSITY CATOLICA PORTUGUESA
UNIVERSIDADE CATOLICA PORTUGUESA,UNIVERSITY CATOLICA PORTUGUESA
UNIVERSIDADE CATOLICA PORTUGUESA - FCEE,UNIVERSITY CATOLICA PORTUGUESA
UNIVERSIDADE CATOLICA PORTUGUESA FACULDADE DE CIENCIAS ECONOMICAS E EMPRESARIAIS,UNIVERSITY CATOLICA PORTUGUESA
UNIVERSIDADE CATOLICA PORTUGUESA LISBON,UNIVERSITY CATOLICA PORTUGUESA
UNIVERSIDADE CATOLICA PORTUGUESA SCHOOL OF ECONOMICS AND MANAGEMENT,UNIVERSITY CATOLICA PORTUGUESA
UNIVERSIDADE CATOLICA PORTUGUESA-LISBON,UNIVERSITY CATOLICA PORTUGUESA
UNIVERSIDADE CATOLICA PORTUGUESA-PORTO,UNIVERSITY CATOLICA PORTUGUESA
UNIVERSIDADE DE EVORA,UNIVERSITY OF EVORA
UNIVERSIDADE DE SAO PAULO,UNIVERSITY OF SAO PAULO
UNIVERSIDADE DE SAO PAULO DEPARTMENT OF ECONOMICS,UNIVERSITY OF SAO PAULO
UNIVERSIDADE DO MINHO,UNIVERSITY OF MINHO
UNIVERSIDADE DO MINHO-NIPE,UNIVERSITY OF MINHO
UNIVERSIDADE DO PORTO,UNIVERSITY OF PORTO
UNIVERSIDADE DOS ACORES,UNIVERSITY OF THE AZORES
UNIVERSIDADE NOVA DE LISBOA,NEW UNIVERSITY OF LISBON (NOVA)
UNIVERSIDADE NOVA DE LISBOA FACULDADE DE ECONOMIA,NEW UNIVERSITY OF LISBON (NOVA)
UNIVERSIDADE NOVA DE LISBOA FACULDADE DE ECONOMIA LISBON PORTUGAL,NEW UNIVERSITY OF LISBON (NOVA)
UNIVERSIDADE NOVA DE LISBON,NEW UNIVERSITY OF LISBON (NOVA)
UNIVERSIDADE PRESBITERIANA MACKENZIE,UNIVERSIDADE PRESBITERIANA MACKENZIE
UNIVERSIDADE TECNICA DE LISBOA INSTITUTO SUPERIOR DE ECONOMIA E GESTAO,TECHNICAL UNIVERSITY OF LISBON
UNIVERSITA AUTONOMA DE BARCELONA,UNIVERSITY AUTONOMA BARCELONA
UNIVERSITA BOCCONI,BOCCONI UNIVERSITY
UNIVERSITA BOCCONI (IGIER),BOCCONI UNIVERSITY
UNIVERSITA BOCCONI FONDAZIONE RODOLFO DEBENEDETTI IGIER,BOCCONI UNIVERSITY
UNIVERSITA BOCCONI INSTITUTE OF FINANCIAL MARKETS AND INSTITUTIONS,BOCCONI UNIVERSITY
UNIVERSITA BOCCONI ISTITUTO DI METODI QUANTITATIVI,BOCCONI UNIVERSITY
UNIVERSITA BOCCONI MILAN,BOCCONI UNIVERSITY
UNIVERSITA CAFOSCARI DI VENEZIA,CA FOSCARI UNIVERSITY OF VENICE
UNIVERSITA CATTOLICA DEL SACRO CUORE,UNIVERSITY CATTOLICA SACRO CUORE
UNIVERSITA CATTOLICA DI MILANO,UNIVERSITY CATTOLICA SACRO CUORE
UNIVERSITA CATTOLICA IN MILAN,UNIVERSITY CATTOLICA SACRO CUORE
UNIVERSITA COMMERCIALE LUIGI BOCCONI,BOCCONI UNIVERSITY
UNIVERSITA COMMERCIALE LUIGI BOCCONI MILANO ITALY,BOCCONI UNIVERSITY
UNIVERSITA DEGLI STUDI DI BARI DEPARTMENT OF ECONOMICS,UNIVERSITY OF BARI
UNIVERSITA DEGLI STUDI DI FIRENZE,UNIVERSITY OF FLORENCE
UNIVERSITA DEGLI STUDI DI MACERATA,UNIVERSITY OF MACERATA
UNIVERSITA DEGLI STUDI DI MILANO,UNIVERSITY OF MILANO-BICOCCA
UNIVERSITA DEGLI STUDI DI MILANO BICOCCA STATISTICS DEPARTMENT,UNIVERSITY OF MILANO-BICOCCA
UNIVERSITA DEGLI STUDI DI MILANO-BICOCCA,UNIVERSITY OF MILANO-BICOCCA
UNIVERSITA DEGLI STUDI DI MILANO-BICOCCA FACOLTA DI ECONOMIA DIPARTIMENTO DI SCIENZE ECONOMICO-AZIENDALI,UNIVERSITY OF MILANO-BICOCCA
UNIVERSITA DEGLI STUDI DI PALERMO FACOLTA DI ECONOMIA,UNIVERSITY OF PALERMO
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITY OF TURIN
UNIVERSITA DEL MOLISE,UNIVERSITY OF MOLISE
UNIVERSITA DEL MOLISE DIPARTIMENTO DI SCIENZE ECONOMICHE GESTIONALI E SOCIALI,UNIVERSITY OF MOLISE
UNIVERSITA DEL PIEMONTE ORIENTALE DIPARTIMENTO DI SCIENZE ECONOMICHE E METODI QUANTITATIVI,UNIVERSITY PIEMONTE ORIENTALE
UNIVERSITA DELLA SVIZZERA ITALIANA,UNIVERSITY OF LUGANO
UNIVERSITA DI BOLOGNA,UNIVERSITY OF BOLOGNA
UNIVERSITA DI MILANO-BICOCCA,UNIVERSITY OF MILANO-BICOCCA
UNIVERSITA DI NAPOLI,UNIVERSITY OF NAPLES FEDERICO
UNIVERSITA DI NAPOLI FEDERICO II,UNIVERSITY OF NAPLES FEDERICO
UNIVERSITA DI NAPOLI FEDERICO II CSEF,UNIVERSITY OF NAPLES FEDERICO
UNIVERSITA DI ROMA LA SAPIENZA,"UNIVERSITY OF ROME, LA SAPIENZA"
UNIVERSITA DI ROMA LA SAPIENZA FACOLTA DI SCIENZE STATISTICHE,"UNIVERSITY OF ROME, LA SAPIENZA"
UNIVERSITA DI ROMA LA SAPIENZA ROMA ITALY,"UNIVERSITY OF ROME, LA SAPIENZA"
UNIVERSITA DI ROMA TOR VERGATA,"UNIVERSITY OF ROME, TOR VERGATA"
UNIVERSITA DI ROMA TOR VERGATA  DIPARTIMENTO DI ECONOMIA E ISTITUZIONI,"UNIVERSITY OF ROME, TOR VERGATA"
UNIVERSITA DI SALERNO,UNIVERSITY OF SALERNO
UNIVERSITA DI SASSARI,UNIVERSITY OF SASSARI
UNIVERSITA DI SASSARI AND ENTE LUIGI EINAUDI,ENTE LUIGI EINAUDI
UNIVERSITA DI SIENA ITALY,UNIVERSITY OF SIENA
UNIVERSITA DI TORINO,UNIVERSITY OF TURIN
UNIVERSITA DI TORINO FONDAZIONE RODOLFO DEBENEDETTI IGIER,UNIVERSITY OF TURIN
UNIVERSITA DI VERONA,UNIVERSITY OF VERONA
UNIVERSITA G D'ANNUNZIO PESCARA,UNIVERSITY OF CHIETI-PESCARA
UNIVERSITA LUISS G CARLI DI ROMA,UNIVERSITY LUISS GUIDO CARLI
UNIVERSITA POLITECNICA DELLE MARCHE MONEY AND FINANCE RESEARCH GROUP (MOFIR),UNIVERSITY POLITECNICA MARCHE
UNIVERSITA STATALE (MILANO),UNIVERSITY OF MILAN
UNIVERSITA SVIZZERA ITALIANA,UNIVERSITY OF LUGANO
UNIVERSITA TOR VERGATA ROMA FACOLTA DI ECONOMIA,"UNIVERSITY OF ROME, TOR VERGATA"
UNIVERSITA' BOCCONI,BOCCONI UNIVERSITY
UNIVERSITA' DI BOLOGNA,UNIVERSITY OF BOLOGNA
UNIVERSITA' DI TORINO,UNIVERSITY OF TURIN
UNIVERSITAD CARLOS III,UNIVERSITY CARLOS III MADRID
UNIVERSITAT AUTOMATA DE BARCELONA,UNIVERSITY AUTONOMA BARCELONA
UNIVERSITAT AUTONOMA DE BARCELONA,UNIVERSITY AUTONOMA BARCELONA
UNIVERSITAT AUTONOMA DE BARCELONA (IAE),UNIVERSITY AUTONOMA BARCELONA
UNIVERSITAT AUTONOMA DE BARCELONA (UAB),UNIVERSITY AUTONOMA BARCELONA
UNIVERSITAT BONN BETRIEBSWIRTSCHAFTLICHE ABTEILUNG I,UNIVERSITY OF BONN
UNIVERSITAT DE LES ILLES BALEARS,UNIVERSITY OF THE BALEARIC ISLANDS
UNIVERSITAT DE VALENCIA ANALISIS ECONOMICO,UNIVERSITY OF VALENCIA
UNIVERSITAT DE VALENCIA DEPARTAMENTO DE ANALISIS ECONOMICO,UNIVERSITY OF VALENCIA
UNIVERSITAT DE VALENCIA DEPARTMENT OF D'ANLISI ECONOMICA,UNIVERSITY OF VALENCIA
UNIVERSITAT GOTTINGEN,UNIVERSITY OF GOTTINGEN
UNIVERSITAT HAMBURG,UNIVERSITY OF HAMBURG
UNIVERSITAT KARLSRUHE,UNIVERSITY OF KARLSRUHE
UNIVERSITAT MANNHEIM,UNIVERSITY OF MANNHEIM
UNIVERSITAT OSNABRUCK,UNIVERSITY OF OSNABRUECK
UNIVERSITAT POMPEU FABRA,POMPEU FABRA UNIVERSITY
UNIVERSITAT POMPEU FABRA (BARCELONA),POMPEU FABRA UNIVERSITY
UNIVERSITAT POMPEU FABRA BARCELONA,POMPEU FABRA UNIVERSITY
UNIVERSITAT POMPEU FABRA DEPARTMENT OF ECONOMICS AND BUSINESS,POMPEU FABRA UNIVERSITY
UNIVERSITAT REGENSBURG,UNIVERSITY OF REGENSBURG
UNIVERSITAT ROVIRA I VIRGILI,ROVIRA I VIRGILI UNIVERSITY
UNIVERSITAT TRIER,UNIVERSITY OF TRIER
UNIVERSITAT ZU KOLN,UNIVERSITY OF COLOGNE
UNIVERSITE CATHOLIQUE DE LOUVAIN,UNIVERSITE CATHOLIQUE DE LOUVAIN
UNIVERSITE CATHOLIQUE DE LOUVAIN IN BELGIUM,UNIVERSITE CATHOLIQUE DE LOUVAIN
UNIVERSITE CATHOLIQUE DE LOUVAIN INSTITUT DE RECHERCHES ECONOMIQUES ET SOCIALES,UNIVERSITE CATHOLIQUE DE LOUVAIN
UNIVERSITE D'EVRY,UNIVERSITY OF EVRY
UNIVERSITE DE CERGY (MAY 2006),UNIVERSITY OF CERGY PONTOISE
UNIVERSITE DE FRANCHE-COMTE - CRESE,UNIVERSITY OF FRANCHE-COMTÉ
UNIVERSITE DE GENEVE,UNIVERSITY OF GENEVA
UNIVERSITE DE GENEVE SWISS FINANCE INSTITUTE,UNIVERSITY OF GENEVA
UNIVERSITE DE GRENOBLE,UNIVERSITY OF GRENOBLE
UNIVERSITE DE LAUSANNE,UNIVERSITY OF LAUSANNE
UNIVERSITE DE LILLE,"UNIVERSITY OF LILLE, NORD DE FRANCE"
UNIVERSITE DE LIMOGES,UNIVERSITY OF LIMOGES
UNIVERSITE DE LIMOGES LAPE,UNIVERSITY OF LIMOGES
UNIVERSITE DE MONTREAL,UNIVERSITY OF MONTREAL
UNIVERSITE DE MONTREAL DEPARTMENT OF ECONOMICS,UNIVERSITY OF MONTREAL
UNIVERSITE DE MONTREAL MONTREAL,UNIVERSITY OF MONTREAL
UNIVERSITE DE NICE,"UNIVERSITY OF LILLE, NORD DE FRANCE"
UNIVERSITE DE PARIS 1-PANTHEON-SORBONNE,UNIVERSITY OF PARIS I
UNIVERSITE DE PARIS DAUPHINE,UNIVERSITY OF PARIS IX
UNIVERSITE DE PARIS I (PANTHEON SORBONNE),UNIVERSITY OF PARIS I
UNIVERSITE DE PARIS VAL DE MARNE,UNIVERSITY OF PARIS XII
UNIVERSITE DE TOULOUSE,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS
UNIVERSITE DE TOULOUSE 1,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS
UNIVERSITE DE TOULOUSE I,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS
UNIVERSITE DE TOULOUSE IDEI,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS
UNIVERSITE DES SCIENCES SOCIALES DE TOULOUSE,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS
UNIVERSITE DI SALERNO,UNIVERSITY OF SALERNO
UNIVERSITE DU QUEBEC A MONTREAL,UNIVERSITY OF MONTREAL
UNIVERSITE H LIBRE DE BRUXELLES,UNIVERSITY LIBRE DE BRUXELLES
UNIVERSITE LAVAL,UNIVERSITY LAVAL
UNIVERSITE LAVAL THE TRADITIONAL DISCLAIMER,UNIVERSITY LAVAL
UNIVERSITE LIBRE DE BRUXELLES,UNIVERSITY LIBRE DE BRUXELLES
UNIVERSITE LIBRE DE BRUXELLES (ECARES),UNIVERSITY LIBRE DE BRUXELLES
UNIVERSITE LIBRE DE BRUXELLES ECOLE DE COMMERCE SOLVAY CENTRE E BERNHEIM,UNIVERSITY LIBRE DE BRUXELLES
UNIVERSITE LOUVAIN (LOUVAIN LA NEUVE),UNIVERSITE CATHOLIQUE DE LOUVAIN
UNIVERSITE OF PARIS X NANTERRE,UNIVERSITY OF PARIS X
UNIVERSITE PARIS 12 VAL DE MARNE,UNIVERSITY OF PARIS XII
UNIVERSITE PARIS DAUPHINE,UNIVERSITY OF PARIS IX
UNIVERSITE PARIS DAUPHINE DRM CEREG,UNIVERSITY OF PARIS IX
UNIVERSITE PARIS I,UNIVERSITY OF PARIS I
UNIVERSITE PARIS I PANTHEON-SORBONNE,UNIVERSITY OF PARIS I
UNIVERSITE PARIS X NANTERRE CEROS,UNIVERSITY OF PARIS X
UNIVERSITE PARIS XII-VAL DE MARNE,UNIVERSITY OF PARIS XII
UNIVERSITE PARIS-DAUPHINE,UNIVERSITY OF PARIS IX
UNIVERSITE PIERRE ET MARIE CURIE,PIERRE-AND-MARIE-CURIE UNIVERSITY
UNIVERSITE POLITECNICA DELLE MARCHE MONEY AND FINANCE RESEARCH GROUP (MOFIR),UNIVERSITY POLITECNICA MARCHE
UNIVERSITE ROBERT SCHUMAN DE STRASBOURG,UNIVERSITY OF STRASBOURG
UNIVERSITE TOULOUSE,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS
UNIVERSITE TOULOUSE 1,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS
UNIVERSITEIT MAASTRICHT,MAASTRICHT UNIVERSITY
UNIVERSITEIT VAN AMSTERDAM,UNIVERSITY OF AMSTERDAM
UNIVERSITET VAN AMSTERDAM,UNIVERSITY OF AMSTERDAM
UNIVERSITIES OF CHICAGO,UNIVERSITY OF CHICAGO
UNIVERSITIY OF AMSTERDAM,UNIVERSITY OF AMSTERDAM
UNIVERSITIY OF BIELEFELD,BIELEFELD UNIVERSITY
UNIVERSITIY OF FLORIDA,UNIVERSITY OF FLORIDA
UNIVERSITIY OF HOUSTON,UNIVERSITY OF HOUSTON
UNIVERSITIY OF OKLAHOMA,UNIVERSITY OF OKLAHOMA
UNIVERSITIY OF TEXAS,"UNIVERSITY OF TEXAS, AUSTIN"
UNIVERSITT MANNHEIM,UNIVERSITY OF MANNHEIM
UNIVERSITY ADOLFO IBANEZ,UNIVERSITY ADOLFO IBANEZ
UNIVERSITY ALBERTO HURTADO,UNIVERSITY ALBERTO HURTADO
UNIVERSITY AT ALBANY,"SUNY, ALBANY"
UNIVERSITY AT ALBANY SUNY,"SUNY, ALBANY"
UNIVERSITY AT ALBANY-SUNY ALBANY,"SUNY, ALBANY"
UNIVERSITY AT BUFFALO,"SUNY, BUFFALO"
UNIVERSITY AT BUFFALO (SUNY),"SUNY, BUFFALO"
UNIVERSITY AT BUFFALO SUNY,"SUNY, BUFFALO"
UNIVERSITY AT BUFFALO-SUNY,"SUNY, BUFFALO"
UNIVERSITY AUTONOMA BARCELONA,UNIVERSITY AUTONOMA BARCELONA
UNIVERSITY AUTONOMA MADRID,UNIVERSITY AUTONOMA MADRID
UNIVERSITY BOCCONI,BOCCONI UNIVERSITY
UNIVERSITY CA' FOSCARI OF VENICE,CA FOSCARI UNIVERSITY OF VENICE
UNIVERSITY CAPITAL STRATEGIES GROUP,UNIVERSITY CAPITAL STRATEGIES GROUP
UNIVERSITY CARDENAL HERRERA-CEU,CEU CARDINAL HERRERA UNIVERSITY
UNIVERSITY CARLOS III,UNIVERSITY CARLOS III MADRID
UNIVERSITY CARLOS III MADRID,UNIVERSITY CARLOS III MADRID
